"Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Ridge_Predictions,NN_Predictions"
"1187,534127210,80,RL,,11104,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,6,1969,1969,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Av,GLQ,828.0,Unf,0.0,599.0,1427.0,GasA,Gd,Y,SBrkr,1427,0,0,1427,0.0,1.0,2,0,4,1,TA,7,Typ,0,,Attchd,1969.0,RFn,2.0,516.0,TA,TA,Y,0,0,0,0,216,0,,,,0,5,2008,WD ,Normal,183000,181085.26293587536,178821.44"
"1188,534127230,20,RL,85.0,11050,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1968,1968,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,301.0,Unf,0.0,1439.0,1740.0,GasA,Fa,Y,SBrkr,1740,0,0,1740,0.0,0.0,1,1,4,1,TA,8,Typ,1,TA,Attchd,1968.0,RFn,2.0,512.0,TA,TA,Y,25,0,0,0,192,0,,GdWo,,0,10,2008,WD ,Family,150000,166445.09025409888,152040.62"
"1189,534128050,20,RL,80.0,11040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1971,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,144.0,Gd,Gd,CBlock,TA,TA,No,ALQ,656.0,Unf,0.0,602.0,1258.0,GasA,Ex,Y,SBrkr,1258,0,0,1258,0.0,1.0,2,0,3,1,Gd,5,Typ,0,,Attchd,1971.0,RFn,2.0,528.0,TA,TA,Y,55,0,0,216,0,0,,,,0,10,2008,COD,Abnorml,145000,165376.71774805462,115124.27"
"1190,534129060,20,RL,,15387,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1967,1967,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,603.0,BLQ,294.0,723.0,1620.0,GasA,Ex,Y,SBrkr,1620,0,0,1620,0.0,0.0,2,0,4,1,Gd,8,Typ,1,Gd,Attchd,1967.0,Unf,2.0,578.0,TA,TA,Y,0,62,192,0,0,0,,,Shed,450,8,2008,WD ,Normal,215000,207418.24022729756,195611.94"
"1191,534175140,90,RL,75.0,9750,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,Duplex,1Story,5,6,1965,1965,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1625.0,1625.0,GasA,Ex,Y,SBrkr,1625,0,0,1625,0.0,0.0,2,0,4,2,TA,8,Typ,0,,Detchd,1965.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2008,ConLD,Normal,140500,142644.79540716286,149136.84"
"1192,534177180,60,RL,90.0,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,7,1974,1997,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,956.0,Rec,182.0,384.0,1522.0,GasA,TA,Y,SBrkr,1548,1066,0,2614,0.0,0.0,2,1,4,1,TA,9,Typ,1,TA,Attchd,1974.0,RFn,2.0,624.0,TA,TA,Y,38,243,0,0,0,0,,,,0,6,2008,WD ,Normal,240000,227974.8517197028,244617.81"
"1193,534201240,60,RL,73.0,8814,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,2Story,5,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,732.0,Unf,0.0,0.0,732.0,GasA,Ex,Y,SBrkr,732,732,0,1464,0.0,0.0,1,1,4,1,TA,7,Typ,0,,Attchd,1968.0,Unf,2.0,470.0,TA,TA,Y,0,40,0,0,0,0,,,,0,6,2008,WD ,Normal,141000,144932.21961243937,138560.34"
"1194,534202130,20,RL,72.0,8872,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,1965,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,300.0,TA,TA,CBlock,TA,TA,No,ALQ,595.0,Unf,0.0,317.0,912.0,GasA,Ex,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,Gd,5,Typ,0,,Detchd,1992.0,Unf,2.0,576.0,TA,TA,Y,0,240,0,0,0,0,,,,0,12,2008,WD ,Normal,147000,149545.03262772874,142661.17"
"1195,534204030,20,RL,65.0,8125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1965,2005,Hip,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,260.0,Rec,456.0,196.0,912.0,GasA,Ex,Y,SBrkr,925,0,0,925,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1978.0,Unf,2.0,576.0,TA,TA,Y,233,0,0,0,0,0,,,,0,7,2008,WD ,Normal,135000,137225.48099260376,123540.55"
"1196,534225110,90,RL,72.0,11072,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1965,1965,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1728.0,1728.0,GasA,TA,Y,SBrkr,1728,0,0,1728,0.0,0.0,2,0,6,2,TA,10,Typ,0,,Detchd,1987.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD ,Normal,145000,140381.22902264958,155014.83"
"1197,534225120,90,RL,74.0,13101,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1965,1965,Gable,CompShg,HdBoard,HdBoard,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,LwQ,231.0,Unf,0.0,1497.0,1728.0,GasA,TA,Y,SBrkr,1728,0,0,1728,0.0,0.0,2,0,6,2,TA,10,Typ,0,,Detchd,1987.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD ,Normal,142600,144444.62654583738,141895.61"
"1198,534250010,90,RL,87.0,9246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Feedr,Norm,Duplex,1Story,5,5,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,564.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1656.0,1656.0,GasA,TA,Y,SBrkr,1656,0,0,1656,0.0,0.0,2,0,4,2,TA,8,Typ,0,,Detchd,1973.0,Unf,2.0,506.0,TA,TA,Y,0,211,0,0,0,0,,,,0,11,2008,WD ,Normal,135000,131633.22341072056,138903.14"
"1199,534250335,60,RL,,13355,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,Gd,No,ALQ,583.0,Unf,0.0,242.0,825.0,GasA,TA,Y,SBrkr,845,825,0,1670,0.0,0.0,1,1,4,1,TA,7,Typ,0,,Attchd,1971.0,Fin,2.0,464.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2008,WD ,Normal,170000,171678.7249431732,175676.05"
"1200,534250370,60,RL,,8963,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,9,1976,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,289.0,Ex,Gd,CBlock,TA,Gd,No,GLQ,575.0,ALQ,80.0,487.0,1142.0,GasA,Ex,Y,SBrkr,1175,1540,0,2715,0.0,1.0,3,1,4,1,Gd,11,Typ,2,TA,BuiltIn,1994.0,Fin,2.0,831.0,TA,TA,Y,0,204,0,0,0,0,,,,0,7,2008,WD ,Normal,299800,305678.0370916084,288262.56"
"1201,534250410,60,RL,76.0,9120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1974,1974,Hip,CompShg,HdBoard,HdBoard,BrkFace,270.0,Gd,TA,CBlock,TA,TA,No,ALQ,442.0,Unf,0.0,459.0,901.0,GasA,TA,Y,SBrkr,943,933,0,1876,0.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1974.0,RFn,2.0,540.0,Gd,TA,Y,0,69,0,0,0,0,,,,0,7,2008,WD ,Normal,185000,191379.33052172686,199235.08"
"1202,534251280,60,RL,,9130,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,2Story,6,8,1966,2000,Hip,CompShg,HdBoard,HdBoard,BrkFace,252.0,TA,TA,CBlock,TA,TA,No,GLQ,400.0,Rec,64.0,336.0,800.0,GasA,Gd,Y,SBrkr,800,832,0,1632,0.0,1.0,1,1,4,1,Gd,7,Typ,0,,Attchd,1966.0,Unf,2.0,484.0,TA,TA,Y,0,40,0,0,0,0,,,,0,7,2008,WD ,Normal,173000,167302.99019599328,163882.53"
"1203,534252090,85,RL,,12122,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,7,9,1961,2007,Gable,CompShg,CemntBd,CmentBd,Stone,210.0,Ex,TA,CBlock,TA,TA,Av,ALQ,867.0,Unf,0.0,77.0,944.0,GasA,Gd,Y,SBrkr,999,0,0,999,1.0,0.0,1,0,3,1,Ex,6,Typ,0,,Attchd,1961.0,RFn,2.0,588.0,TA,TA,Y,144,76,0,0,0,0,,,,0,7,2008,WD ,Normal,178400,205279.05437061904,167984.89"
"1204,534252270,60,RL,,9900,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Feedr,Norm,1Fam,2Story,7,5,1968,1968,Gable,CompShg,MetalSd,MetalSd,BrkFace,342.0,TA,TA,CBlock,TA,TA,No,BLQ,552.0,Unf,0.0,280.0,832.0,GasA,Gd,Y,SBrkr,1098,880,0,1978,0.0,0.0,2,1,4,1,TA,9,Typ,1,Gd,Attchd,1968.0,RFn,2.0,486.0,TA,TA,Y,0,43,0,0,0,0,,GdPrv,,0,4,2008,WD ,Normal,176000,179494.40042069997,180120.0"
"1205,534276190,20,RL,74.0,7785,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1014,0,0,1014,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Attchd,1956.0,RFn,1.0,267.0,TA,TA,Y,0,0,40,0,200,0,,GdWo,,0,3,2008,WD ,Normal,98000,101703.11669733637,96243.91"
"1206,534277060,20,RL,77.0,8593,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,288.0,Unf,0.0,619.0,907.0,GasA,Ex,Y,SBrkr,907,0,0,907,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1964.0,Unf,1.0,352.0,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2008,WD ,Normal,109008,110756.0644414643,108142.28"
"1207,534277070,20,RL,,8475,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,228.0,Unf,0.0,724.0,952.0,GasA,Ex,Y,FuseA,952,0,0,952,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1956.0,Unf,1.0,283.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD ,Normal,135750,119736.69735003724,129468.195"
"1208,534400030,20,RL,80.0,8700,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1963,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,148.0,TA,Gd,CBlock,TA,TA,Mn,ALQ,776.0,Unf,0.0,344.0,1120.0,GasA,Gd,Y,SBrkr,1128,0,0,1128,1.0,0.0,2,0,3,1,TA,6,Typ,0,,Attchd,1963.0,RFn,2.0,525.0,TA,TA,Y,192,20,123,0,0,0,,MnPrv,,0,12,2008,WD ,Normal,155000,151204.50782432288,146698.56"
"1209,534400060,20,RL,100.0,10175,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490.0,Unf,0.0,935.0,1425.0,GasA,Gd,Y,SBrkr,1425,0,0,1425,0.0,0.0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2.0,576.0,TA,TA,Y,0,0,0,407,0,0,,,,0,7,2008,WD ,Normal,180500,164327.36916609603,149347.48"
"1210,534401130,80,RL,82.0,9020,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,183.0,TA,TA,CBlock,TA,TA,Gd,Rec,312.0,ALQ,539.0,276.0,1127.0,GasA,TA,Y,SBrkr,1165,0,0,1165,1.0,0.0,1,1,3,1,TA,6,Typ,0,,Attchd,1966.0,RFn,2.0,490.0,Gd,Gd,Y,0,129,0,0,0,0,,GdPrv,,0,5,2008,WD ,Normal,174900,173989.94419445962,157497.12"
"1211,534401190,20,RL,80.0,9200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,892.0,Unf,0.0,244.0,1136.0,GasA,TA,Y,SBrkr,1136,0,0,1136,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Attchd,1965.0,RFn,1.0,384.0,TA,TA,Y,426,0,0,0,0,0,,,,0,7,2008,WD ,Normal,140000,143484.86796193317,139372.34"
"1212,534403050,20,RL,75.0,8250,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1964,1964,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,TA,TA,CBlock,Gd,TA,No,Rec,787.0,Unf,0.0,305.0,1092.0,GasA,Ex,Y,SBrkr,1092,0,0,1092,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1964.0,RFn,2.0,504.0,TA,Gd,Y,0,0,0,0,0,0,,MnPrv,,0,7,2008,WD ,Normal,145000,151411.25232317657,134954.36"
"1213,534403080,80,RL,85.0,9350,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,8,1965,1999,Gable,CompShg,BrkFace,BrkFace,,0.0,TA,Gd,PConc,TA,TA,Gd,ALQ,633.0,Unf,0.0,586.0,1219.0,GasA,Gd,Y,SBrkr,1265,0,0,1265,0.0,1.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,1965.0,RFn,2.0,502.0,TA,TA,Y,0,92,0,96,0,0,,MnPrv,,0,10,2008,WD ,Normal,179900,192168.4548708646,134152.36"
"1214,534403100,80,RL,82.0,9020,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,SLvl,6,5,1964,1964,Gable,WdShngl,Plywood,Wd Sdng,BrkFace,259.0,TA,TA,CBlock,TA,TA,Gd,GLQ,624.0,Rec,336.0,288.0,1248.0,GasA,TA,Y,SBrkr,1350,0,0,1350,1.0,0.0,1,1,3,1,TA,6,Typ,0,,Attchd,1964.0,RFn,2.0,520.0,TA,TA,Y,176,0,0,0,0,0,,GdPrv,,0,6,2008,WD ,Normal,168500,172736.9887804032,168408.36"
"1215,534403260,20,RL,90.0,9900,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1961,1961,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1114.0,1114.0,GasA,TA,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1961.0,RFn,2.0,451.0,TA,TA,Y,0,0,0,0,164,0,,,,0,5,2008,COD,Abnorml,140000,118094.83802051962,128681.37"
"1216,534426040,20,RL,72.0,10007,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,HdBoard,HdBoard,BrkFace,54.0,Gd,TA,CBlock,TA,TA,No,ALQ,806.0,Unf,0.0,247.0,1053.0,GasA,Ex,Y,SBrkr,1053,0,0,1053,1.0,0.0,1,1,3,1,Gd,5,Typ,0,,Attchd,1959.0,RFn,1.0,312.0,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,8,2008,WD ,Normal,145500,146379.13507448044,138860.36"
"1217,534427040,20,RL,80.0,10721,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,HdBoard,HdBoard,Stone,243.0,Gd,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1252.0,1252.0,GasA,Ex,Y,SBrkr,1252,0,0,1252,0.0,0.0,1,0,3,1,Gd,7,Typ,0,,Detchd,1960.0,Unf,2.0,528.0,TA,TA,Y,0,39,0,0,0,0,,,,0,10,2008,WD ,Normal,142000,148007.673274369,142778.77"
"1218,534428020,20,RL,,12493,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,ALQ,419.0,Rec,306.0,375.0,1100.0,GasA,TA,Y,SBrkr,1100,0,0,1100,1.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Attchd,1960.0,RFn,1.0,312.0,TA,TA,Y,355,0,0,0,0,0,,GdWo,,0,4,2008,WD ,Normal,141000,123874.63538693445,137832.17"
"1219,534428100,20,RL,,11332,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,528.0,Unf,0.0,590.0,1118.0,GasA,Ex,Y,SBrkr,1118,0,0,1118,1.0,0.0,1,0,3,1,Gd,6,Typ,0,,Attchd,1960.0,RFn,1.0,264.0,TA,TA,Y,290,0,0,0,0,0,,MnPrv,,0,8,2008,WD ,Normal,153000,147047.7507690164,140878.4"
"1220,534451080,20,RL,,6627,Pave,,IR1,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,3,6,1949,1950,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,,,,,0.0,,0.0,0.0,0.0,Floor,TA,N,SBrkr,720,0,0,720,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1955.0,Unf,1.0,287.0,TA,Fa,Y,0,0,0,0,0,0,,,,0,7,2008,WD ,Normal,72500,70849.80039873919,52351.406"
"1221,534451170,30,RL,56.0,4130,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,6,1935,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,270.0,270.0,GasA,Gd,Y,SBrkr,729,0,0,729,0.0,0.0,1,0,2,1,TA,5,Maj2,0,,,,,0.0,0.0,,,N,0,0,0,0,0,0,,,,0,7,2008,WD ,Normal,52000,64741.65500414406,56595.785"
"1222,534452060,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD ,Normal,118000,150105.31393017303,142215.47"
"1223,534453140,70,RL,50.0,4882,Pave,,IR1,Bnk,AllPub,Inside,Mod,BrkSide,RRAn,Feedr,1Fam,2Story,4,7,1937,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,Rec,120.0,Unf,0.0,228.0,348.0,GasA,TA,Y,SBrkr,453,453,0,906,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Basment,1937.0,Unf,1.0,231.0,Fa,TA,Y,0,0,0,0,0,0,,,,0,9,2008,WD ,Normal,87000,91443.7553597716,112077.95"
"1224,534455030,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,MetalSd,MetalSd,BrkFace,203.0,Fa,Fa,CBlock,TA,TA,No,Rec,658.0,Unf,0.0,638.0,1296.0,GasA,TA,Y,SBrkr,1496,0,0,1496,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1960.0,RFn,2.0,450.0,TA,TA,Y,0,22,0,0,0,0,,MnPrv,,0,2,2008,WD ,Normal,141500,151488.95883812953,134869.31"
"1225,534477080,50,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,5,1950,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,280.0,Unf,0.0,752.0,1032.0,GasA,TA,Y,FuseA,1032,220,0,1252,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1950.0,Unf,1.0,288.0,TA,TA,Y,0,0,96,0,0,0,,,,0,4,2008,WD ,Abnorml,119000,117541.19307926926,115667.484"
"1226,534477090,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,1950,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,32.0,Rec,308.0,232.0,572.0,GasA,Gd,Y,SBrkr,1337,0,0,1337,1.0,0.0,1,0,3,1,Gd,7,Typ,1,Gd,Attchd,1950.0,RFn,1.0,264.0,TA,TA,Y,0,192,0,0,0,0,,,,0,9,2008,WD ,Normal,141500,146990.13450531798,140685.6"
"1227,534477270,80,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,6,1955,1996,Hip,CompShg,AsbShng,AsbShng,,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,831.0,Unf,0.0,161.0,992.0,GasA,Gd,Y,SBrkr,1661,0,0,1661,1.0,0.0,1,0,3,1,Gd,8,Typ,1,TA,BuiltIn,1955.0,RFn,1.0,377.0,TA,TA,Y,0,28,0,0,178,0,,MnPrv,,0,10,2008,WD ,Normal,165500,165806.5588732782,128635.97"
"1228,534479150,20,RL,63.0,7584,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1Story,5,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,88.0,TA,TA,CBlock,TA,TA,No,LwQ,531.0,Unf,0.0,505.0,1036.0,GasA,Ex,Y,SBrkr,1036,0,0,1036,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1953.0,RFn,1.0,312.0,TA,TA,Y,120,24,0,0,0,0,,MnPrv,,0,6,2008,WD ,Normal,112900,110172.66353854613,98593.97"
"1229,535103050,60,RL,,13700,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,6,1965,1988,Gable,CompShg,VinylSd,VinylSd,Stone,288.0,TA,TA,CBlock,TA,TA,Gd,ALQ,454.0,Unf,0.0,410.0,864.0,GasA,TA,Y,SBrkr,902,918,0,1820,0.0,0.0,1,2,4,1,Gd,8,Typ,2,Gd,Attchd,1965.0,Unf,2.0,492.0,TA,TA,Y,60,84,0,0,273,0,,GdPrv,,0,5,2008,WD ,Normal,201800,222922.78014488154,210647.67"
"1230,535104020,20,RL,80.0,10197,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1961,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491.0,TA,TA,CBlock,TA,TA,No,ALQ,288.0,Rec,374.0,700.0,1362.0,GasA,TA,Y,SBrkr,1362,0,0,1362,1.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1961.0,Unf,2.0,504.0,TA,TA,Y,0,20,0,0,0,0,,,,0,6,2008,COD,Normal,163000,155891.53653835034,148603.58"
"1231,535105030,20,RL,75.0,7875,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.0,TA,TA,CBlock,TA,TA,No,Rec,572.0,Unf,0.0,572.0,1144.0,GasA,Gd,Y,SBrkr,1144,0,0,1144,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1961.0,Unf,2.0,456.0,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,9,2008,WD ,Normal,139950,135502.35137724096,131524.6"
"1232,535105060,20,RL,80.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,9,1962,2005,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,237.0,Gd,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1319.0,1319.0,GasA,TA,Y,SBrkr,1537,0,0,1537,1.0,0.0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,1962.0,RFn,2.0,462.0,TA,TA,Y,0,36,0,0,0,0,,GdPrv,,0,7,2008,COD,Abnorml,174000,173174.60149426805,150710.31"
